Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
ACLBSL,"1,135.00",1.61,"1,162.00","1,117.00","1,139.00","5,850",,
ADBL,286.00,0.88,287.00,281.10,285.00,"27,911",,
ADBLD83,"1,080.00",-1.99,"1,080.00","1,079.90","1,079.90",76,,
AHL,835.00,0.72,844.90,807.50,820.00,"17,389",,
AHPC,267.50,0.94,268.80,263.50,266.00,"147,834",,
AKJCL,197.00,1.03,198.00,195.00,196.00,"123,350",,
AKPL,237.90,1.71,239.00,234.10,235.00,"122,132",,
ALBSL,936.00,-0.43,951.80,927.00,928.00,"20,158",,
ALICL,744.60,1.03,744.90,735.10,740.00,"25,101",,
ANLB,"5,098.00",0.95,"5,109.00","4,949.00","4,949.00",909,,
API,276.10,0.77,278.60,273.00,278.00,"163,976",,
AVYAN,"1,080.00",0.93,"1,110.00","1,055.00","1,055.00","7,484",,
BARUN,461.30,0.94,467.00,450.00,466.00,"319,781",,
BBC,"5,675.00",0.27,"6,002.00","5,670.00","5,750.00",795,,
BEDC,812.00,-2.87,850.00,793.80,850.00,"98,142",,
BFC,614.80,4.74,629.00,586.00,590.00,"63,394",,
BGWT,"1,155.00",3.12,"1,155.00","1,110.00","1,110.00","52,673",,
BHDC,734.60,0.36,744.00,717.40,744.00,"23,449",,
BHL,388.00,0.57,388.00,380.10,380.30,"12,565",,
BHPL,"1,032.00",2.05,"1,035.90",993.00,993.00,"9,829",,
BNHC,539.90,3.43,550.00,525.00,532.00,"80,776",,
BNL,"19,559.80",5.64,"20,366.20","18,885.00","18,885.00",70,,
BNT,"13,689.90",2.32,"13,950.00","13,460.00","13,600.00",270,,
BOKD86,"1,029.00",0.18,"1,029.00","1,029.00","1,029.00",25,,
BOKD86KA,"1,102.00",-1.17,"1,102.00","1,102.00","1,102.00",50,,
BPCL,397.40,-0.65,406.00,395.00,406.00,"10,994",,
C30MF,9.00,0,9.01,9.00,9.00,"3,030",,
CBBL,844.00,-0.82,855.00,841.10,853.00,"11,188",,
CFCL,510.00,2.41,514.00,490.00,507.90,"40,879",,
CGH,892.00,-0.21,899.00,881.50,884.00,"31,842",,
CHCL,505.00,-0.67,510.20,498.00,505.00,"58,366",,
CHDC,"1,831.00",3.68,"1,846.00","1,765.00","1,799.00","63,985",,
CHL,464.00,1.53,469.00,447.90,447.90,"60,904",,
CIT,"1,980.00",-0.2,"1,999.90","1,975.00","1,999.00","7,834",,
CITY,905.00,-0.39,914.00,900.00,908.10,"17,896",,
CKHL,856.00,5,870.00,822.00,822.00,"38,126",,
CLI,730.00,0.55,735.00,721.00,721.60,"83,606",,
CMF1,10.51,0.57,10.65,10.50,10.50,"14,360",,
CMF2,9.40,2.51,9.50,9.20,9.20,"1,150",,
CORBL,"2,480.00",9.73,"2,480.00","2,167.80","2,215.00","50,857",,
CYCL,"1,652.10",0.55,"1,685.00","1,625.00","1,625.00","10,751",,
CZBIL,205.00,0.24,207.00,203.00,204.00,"56,340",,
DDBL,779.00,-0.13,786.00,771.00,780.00,"7,862",,
DHPL,310.00,0.65,320.00,305.00,305.00,"33,050",,
DLBS,"1,810.10",2.27,"1,860.00","1,781.00","1,804.00","6,208",,
